Date,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,DKI Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku Utara,Maluku,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua Barat,Papua,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-01-01,19400.0,19690.0,18820.0,18540.0,19580.0,19750.0,19880.0,18300.0,19450.0,19390.0,18910.0,20170.0,19000.0,19500.0,20320.0,19000.0,18960.0,18630.0,18690.0,19320.0,19550.0,19750.0,21390.0,20000.0,18980.0,19540.0,20940.0,18320.0,18520.0,19980.0,22130.0,18230.0,18920.0,19440.0
2022-01-02,19100.0,19730.0,18660.0,18610.0,19580.0,19750.0,19940.0,18340.0,19460.0,19270.0,19130.0,20150.0,19240.0,19430.0,20740.0,19000.0,18560.0,18850.0,18710.0,19890.0,19700.0,19810.0,23630.0,19670.0,19970.0,19480.0,21110.0,18510.0,18600.0,19380.0,21630.0,18340.0,18790.0,19370.0
2022-01-03,19220.0,19760.0,18640.0,18430.0,19580.0,19830.0,19890.0,18360.0,19440.0,19150.0,19020.0,20620.0,19020.0,19430.0,21130.0,19000.0,19170.0,18530.0,18630.0,20550.0,20190.0,19620.0,20770.0,20630.0,19220.0,19480.0,21110.0,18230.0,18790.0,20030.0,21570.0,18370.0,18810.0,19200.0
2022-01-04,19160.0,19990.0,18850.0,18360.0,19580.0,19830.0,19890.0,18300.0,19400.0,18970.0,19030.0,20130.0,19120.0,19430.0,21490.0,18660.0,18630.0,18850.0,18630.0,19100.0,20720.0,19660.0,21260.0,20420.0,19290.0,19710.0,20460.0,18460.0,18540.0,19820.0,21510.0,18460.0,18820.0,19180.0
2022-01-05,19570.0,19990.0,18980.0,18430.0,19480.0,19830.0,19890.0,18190.0,19400.0,19200.0,19080.0,20310.0,19120.0,19430.0,21360.0,18990.0,18770.0,18620.0,18620.0,20550.0,20750.0,19860.0,20740.0,20630.0,19240.0,19690.0,20540.0,18530.0,18610.0,20130.0,21150.0,18470.0,18740.0,19170.0
2022-01-06,19830.0,19990.0,18910.0,18430.0,19580.0,19830.0,19850.0,18160.0,19490.0,19200.0,19120.0,20240.0,19160.0,19430.0,21530.0,18990.0,18910.0,18940.0,18650.0,20550.0,20440.0,19760.0,20860.0,19090.0,19330.0,19840.0,20230.0,18360.0,18300.0,19890.0,21210.0,18480.0,18680.0,19370.0
2022-01-07,19620.0,20065.0,18720.0,18430.0,19580.0,19800.0,19890.0,18210.0,19420.0,19200.0,18950.0,20540.0,19280.0,19500.0,21010.0,18990.0,18800.0,18850.0,18640.0,20170.0,20390.0,19530.0,20520.0,20670.0,19400.0,19860.0,20450.0,18380.0,18650.0,19890.0,20850.0,18590.0,18670.0,19480.0
2022-01-08,19820.0,20140.0,18980.0,18380.0,19580.0,19830.0,19890.0,18210.0,19390.0,19120.0,18930.0,20290.0,19420.0,19430.0,21340.0,18990.0,18830.0,19070.0,18840.0,19530.0,20800.0,19630.0,20400.0,20040.0,19960.0,19830.0,20450.0,18350.0,18650.0,20040.0,21390.0,18490.0,18870.0,19410.0
2022-01-09,19870.0,20140.0,19190.0,18380.0,19580.0,19830.0,19970.0,18000.0,19500.0,19200.0,19090.0,20140.0,19340.0,19500.0,20450.0,18990.0,18830.0,18700.0,18750.0,19000.0,20660.0,19840.0,22910.0,19490.0,19870.0,19920.0,20960.0,18400.0,18610.0,20360.0,21750.0,18460.0,18690.0,19340.0
2022-01-10,19930.0,20139.166666666668,18990.0,18380.0,19580.0,19830.0,20000.0,18280.0,19630.0,19250.0,19010.0,20580.0,19330.0,19500.0,21860.0,18990.0,18670.0,19400.0,19050.0,19980.0,20710.0,19670.0,20260.0,20040.0,19460.0,19700.0,19660.0,18450.0,18950.0,19860.0,20880.0,18670.0,18750.0,19260.0
