Province,Mean_Bawang_Putih_Bonggol,Mean_Cabai_Merah_Keriting,Mean_Daging_Ayam_Ras,Mean_Daging_Sapi_Murni,Mean_Tepung_Terigu_Curah,Mean_bawang_merah,Mean_beras_medium,Mean_beras_premium,Mean_gula,Mean_telur_ayam,CV_Bawang_Putih_Bonggol,CV_Cabai_Merah_Keriting,CV_Daging_Ayam_Ras,CV_Daging_Sapi_Murni,CV_Tepung_Terigu_Curah,CV_bawang_merah,CV_beras_medium,CV_beras_premium,CV_gula,CV_telur_ayam,Trend_Bawang_Putih_Bonggol,Trend_Cabai_Merah_Keriting,Trend_Daging_Ayam_Ras,Trend_Daging_Sapi_Murni,Trend_Tepung_Terigu_Curah,Trend_bawang_merah,Trend_beras_medium,Trend_beras_premium,Trend_gula,Trend_telur_ayam,Autocorr_Bawang_Putih_Bonggol,Autocorr_Cabai_Merah_Keriting,Autocorr_Daging_Ayam_Ras,Autocorr_Daging_Sapi_Murni,Autocorr_Tepung_Terigu_Curah,Autocorr_bawang_merah,Autocorr_beras_medium,Autocorr_beras_premium,Autocorr_gula,Autocorr_telur_ayam,Skewness_Bawang_Putih_Bonggol,Skewness_Cabai_Merah_Keriting,Skewness_Daging_Ayam_Ras,Skewness_Daging_Sapi_Murni,Skewness_Tepung_Terigu_Curah,Skewness_bawang_merah,Skewness_beras_medium,Skewness_beras_premium,Skewness_gula,Skewness_telur_ayam
Aceh,32929.56673306773,44220.8,30343.177290836655,153049.63147410357,10760.129482071714,35416.50398406375,11967.948207171316,13133.002988047809,15805.358565737051,25026.155378486055,0.19003216870747372,0.3892449073433483,0.05130039444551546,0.01346247140144467,0.060522086739239755,0.23479787022010393,0.08790350080068147,0.08809433989285007,0.10249328500582491,0.07035799101174259,0.000541466411351551,-6.0424663584908644e-05,4.124997919351631e-06,2.9407206701536182e-05,0.000103135133131737,-4.7426035702488356e-06,0.00028735814099765375,0.00028773638349786885,0.00030843757490249475,0.0001218626445315115,0.9984880890970487,0.9959933043309391,0.9661929029516346,0.9414018692566234,0.9918329297612939,0.9966362615978899,0.9975042741126949,0.9984388788712528,0.9987800625219369,0.9921298778424522,-0.1303628754194013,1.2082819618146172,0.5366604016589293,-0.7889103659889151,-1.3101556974821003,1.2035067442529217,0.26721110704680545,0.22109201758857427,0.6661467046579826,-0.8390962990523679
Bali,28744.6812749004,40486.821821821824,38894.1484063745,114855.45816733068,11127.584661354582,28714.437250996016,12258.406374501992,13523.306772908367,14956.329681274901,26251.65338645418,0.23539959629261345,0.293492388871655,0.04660089743652232,0.01817973096139886,0.0679224909902895,0.24141891184043396,0.11677115506958044,0.12007716149645604,0.10786001752728891,0.08170655855109926,0.0006871219502073107,8.908972392606861e-05,3.72870913669319e-05,2.9681140909344905e-05,7.114640290892282e-05,-5.276779830147747e-05,0.00037950338801972876,0.0003917061189524052,0.00031916211697559344,0.00019326006090752366,0.9974499627682603,0.976685306294654,0.9591647836394681,0.9320966776163243,0.9863817198647314,0.9952308186620865,0.9984285451743539,0.9990329167988079,0.9986931234425102,0.9479852041582871,-0.06080033661629391,0.865173886269047,0.016679473506634478,-0.098870718222712,-0.7560509790201546,0.8930180601123783,0.15824193977839057,0.20629566258669535,0.7346089150929951,-0.7131131069609167
Banten,31993.94920318725,48497.7,36941.95219123506,136294.8157370518,10156.703187250996,34938.092629482075,11444.57669322709,12971.95219123506,15097.186254980079,27447.56972111554,0.18634571607091738,0.3496836643380923,0.04534289284921617,0.027522978292544603,0.03360099737036328,0.25553039678940903,0.11909795115759002,0.12351772718297654,0.10668063032593314,0.08570933416202794,0.0005527836431060248,-5.3393186086665915e-05,1.6530163357104464e-05,3.053908522373565e-06,3.51591530497055e-05,-0.00016345868385911043,0.00036816746872101217,0.00039492666940329027,0.00032812080308428483,0.00010500074787905154,0.991061213886532,0.9906709958318515,0.9277938980131951,0.9489638681585282,0.9071988836416769,0.991537288572429,0.9927484489004227,0.9949261087610821,0.9925859351675785,0.9903532449407396,-0.07799080338414607,1.1694930212120067,0.6069282441944993,-0.7230294193370391,-1.4560460796194157,1.3884950479241662,0.47917234603949177,0.44406240611389663,0.7965014138158419,-0.8157956766214126
Bengkulu,32526.977091633467,44899.75,35243.167330677294,133591.8874501992,10745.836653386454,35439.29282868526,11838.381474103586,13402.53486055777,15347.365537848606,25858.575697211156,0.1952576381296256,0.3969310313600224,0.10957651425286648,0.027156798846209477,0.07466842787297132,0.2345891431124315,0.11923879830224626,0.12017427928437512,0.09957677265230953,0.07128474887810488,0.0005568192020971762,0.00012113891252575539,-6.501420015981902e-05,5.414957355456946e-05,0.0001601851772954096,-9.465083170833767e-05,0.0003895808909857873,0.00039442986485266606,0.00030112580673468303,0.0001426791269658065,0.996731524006793,0.9944360565333983,0.9884068012191496,0.9136439574937911,0.9926623730773543,0.996605966999584,0.9987686960892687,0.9989269002271183,0.9979796409353335,0.9900383370386115,0.02559653329493856,0.9261876788621061,0.6347385051892713,-0.7976483374313743,-1.4435705551254645,0.7691883354491001,0.24054117167103314,0.20949181462539374,0.713275952427191,-1.4119993946610965
DI Yogyakarta,29417.290836653385,39544.22,34455.53784860558,135701.42550911038,9786.543824701195,31570.089641434264,11537.480079681274,12925.149402390438,14819.511952191235,26888.36653386454,0.2098800145168824,0.3716361400010346,0.07354459706424667,0.007973640272652446,0.07148738276025526,0.28182781208237634,0.13366914034208655,0.11454900354278,0.11045676121660535,0.08753805628146508,0.0006078166162010581,-2.5102344046987136e-05,1.2454586927546672e-05,1.1450509202348403e-05,-4.0849782654756476e-05,-0.0001471514261448981,0.000422876393147334,0.0003580213881906248,0.00032406609964829544,9.391400371341256e-05,0.9963793292641914,0.9900892524516677,0.9816821286261707,0.8566104729803147,0.9797215203614092,0.9941414743819068,0.9985507575763546,0.9982000755326284,0.9977322809576273,0.9875842655071658,-0.14590600567741535,0.8937825115912521,0.41595031028362967,0.3829675937310085,-0.334468447480049,0.8938685092193168,0.07918165625943795,0.4756280157719046,0.6237471521886759,-0.5679149405701783
DKI Jakarta,36367.76394422311,55057.035,37941.50398406375,138685.49800796813,10198.545816733067,42206.33466135458,11770.54780876494,13707.380478087649,15541.52390438247,28241.703187250994,0.134611028738902,0.3082770825632115,0.04928968325181006,0.03352646811087736,0.04034077358987118,0.21646956944352835,0.129248845613919,0.1223185950616035,0.09857235688555227,0.07454884675628,0.0004046016092840319,4.12566194837001e-06,2.989224169339228e-05,2.816444572467159e-07,2.016143860875676e-05,-9.174832010780641e-05,0.00037781749030279047,0.00036320060364717147,0.00027067057536409077,8.307195481071353e-05,0.9799668662251284,0.9913465559570935,0.9045397503389289,0.9687223151725481,0.9227522972247258,0.9892499365557028,0.9959858458506897,0.9965963427834955,0.9935987050523435,0.967828681103792,0.13301679794445168,0.9571171806453784,0.23080105719971877,-0.9984224229486899,-0.20614836459041816,1.1545804896409697,0.6620352628322799,0.7587021664004586,1.0757259935709194,-0.7425408271917296
Gorontalo,38662.559760956174,40249.17917917918,31763.47111553785,134008.36155378487,10588.834661354582,38895.278884462154,12075.46812749004,13266.384462151394,16128.640438247012,30886.32470119522,0.16461780050168748,0.2851861905236179,0.0996247101787446,0.024555780509180565,0.09240303576677827,0.24690698412116222,0.13139946489182086,0.13732610062168754,0.1108047525519043,0.09315344068999348,0.0004678310310952538,0.0001421104254610253,6.93268670071591e-05,-1.0370003557368796e-05,9.060963305872591e-05,-0.000204056443175636,0.0004060393162229263,0.00043325448779253385,0.0003268405657678648,0.00023242630143955166,0.9928211418898526,0.9814978161339722,0.9921117222993823,0.9836517730583115,0.9944730492674935,0.9912666443122686,0.998805213425761,0.9992525069713086,0.9969231875405967,0.9934141540870752,0.3800528942978949,0.7144045880437441,-0.3693533654638994,-0.5911407200767329,-1.2408536175869858,1.0385499170172958,0.4813555354501683,0.5409025787492874,0.7144561112247855,0.1299468683662816
Jambi,30691.464143426296,41871.61,33336.045816733065,137494.3775510204,10230.637450199203,29563.725099601594,11370.209163346613,13596.454183266933,15180.298804780876,27390.358565737053,0.19801965743838254,0.3947114546489668,0.10119374467238025,0.017590605347488845,0.0778331636111987,0.2380771209329341,0.09410699766447105,0.09242922642139435,0.0991999236846294,0.05694052226883445,0.0005850951565990924,1.2944575143162452e-05,-4.9399623277049905e-05,6.926129148226527e-06,0.0001523593514246081,-0.00011146866366984149,0.0003054577504241681,0.0002900716258745161,0.0003039150787815377,0.00011128823622003862,0.9988491726697877,0.9905318320738585,0.9899145089278731,0.9705673196933577,0.9977776477459119,0.99700651733057,0.9987656810263295,0.999340577480633,0.9995474783886112,0.9942391945042283,-0.12068063984047363,1.037282366762021,0.8200123500833368,-0.9314828886052454,-1.1264971172603946,0.7936637067451268,0.3901684613898336,0.13297961198402375,0.6830836158139177,-1.0794642741961875
Jawa Barat,32626.339641434264,47594.065,36283.22709163347,133736.4089521872,10014.825697211156,33921.339641434264,11547.589641434262,13100.617529880477,15330.981075697211,27867.534860557767,0.1713204477540127,0.3075417819065188,0.06017964142961203,0.017073242062858016,0.06706002972188788,0.23654125158852973,0.11645158659223005,0.11191494295927369,0.09482491807403094,0.08299757824523991,0.0005128790998056668,4.524098108935918e-05,1.7058392002881634e-05,7.380558160343387e-06,0.00015897164813455006,-0.00011384587225350443,0.0003541151849188009,0.0003512260242427282,0.00028831360960668496,9.437564235741241e-05,0.9980631049877637,0.9951003290364259,0.9858910392069224,0.9716175291159275,0.9922656904150553,0.9966564337430522,0.9986069767753752,0.9992887904855363,0.9987339402066813,0.9960399509583432,-0.057712625188924435,0.9675752945061337,0.7561773249797109,-0.23632092736377486,-1.1670402543060583,1.3669259623856722,0.623489223643387,0.6024384368480499,0.7389250051265865,-0.6070799152964099
Jawa Tengah,29873.90438247012,40147.88,35255.04980079681,129960.38338658147,9856.613545816734,32781.832669322706,11696.533864541832,13147.211155378485,14759.671314741036,26942.241035856572,0.1993083544526212,0.36661581009373867,0.05951869252134674,0.013465667326748396,0.06927002237905233,0.26129586957939155,0.123241048369152,0.11183885843406062,0.10761901549767999,0.08507346671915776,0.000589442022795428,1.5332436087190886e-05,3.579221721043943e-05,2.1548324079533345e-05,5.0037476551361085e-05,-0.00016669352395081797,0.00038298393927995524,0.0003605591795255171,0.0003090138453160768,9.896699478257776e-05,0.9965735523127759,0.9955765201736914,0.9853988560249382,0.9512136530444383,0.9845554743701815,0.9933912924866994,0.9986749339982224,0.9984870755893893,0.9991201879660565,0.9950059508809852,-0.10736365569299282,0.9316126907764172,0.6900615226573132,-0.47089072854263103,-0.73538685773106,1.072582435738506,0.4009533225346273,0.38512549197833135,0.6306453084489344,-0.8179353717804477
